CustomerID,Genre,Age,AnnualIncome,SpendingScore
254,Female,48,73,53
255,Female,38,18,49
256,Female,36,83,92
257,Male,22,80,62
258,Female,25,33,20
259,Male,33,71,82
260,Male,59,16,17
261,Female,42,76,33
262,Female,30,136,34
263,Male,60,30,3
264,Male,60,59,29
265,Male,51,89,12
266,Male,52,130,35
267,Female,43,51,67
268,Female,26,29,94
269,Male,62,31,66
270,Male,30,135,52
271,Female,55,102,5
272,Male,43,102,61
273,Female,39,114,73
274,Female,60,125,39
275,Male,19,92,64
276,Female,41,38,29
277,Male,40,108,22
278,Female,48,64,16
279,Male,20,52,78
280,Male,30,41,79
281,Male,54,55,61
282,Male,52,61,67
283,Male,57,38,97
284,Male,22,47,32
285,Female,20,85,27
286,Female,56,33,40
287,Female,22,127,53
288,Male,51,43,17
289,Male,55,29,29
290,Male,41,44,32
291,Male,69,128,2
292,Male,34,92,79
293,Female,31,136,57
294,Female,59,134,93
295,Female,43,60,67
296,Male,23,28,50
297,Female,27,111,37
298,Male,66,113,39
299,Female,56,72,6
300,Female,31,43,42
